epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31796,1.69297,3.65261,0.91325,0,0,0,0,1.98412,4.12418,0.88891,0.000225,0.000225,0.000225
2,10.4127,1.71295,1.98612,0.8619,3e-05,0.00026,2e-05,0,1.64133,3.8621,0.85167,0.000457921,0.000457921,0.000457921
3,14.5614,1.6142,1.39182,0.86182,0.01889,0.15193,0.08586,0.04319,1.50468,3.30006,0.83241,0.00068614,0.00068614,0.00068614
4,18.6054,1.49106,1.23549,0.84585,0.03637,0.29455,0.17282,0.07899,1.67711,2.67702,0.83849,0.000909656,0.000909656,0.000909656
5,22.5042,1.52505,1.18091,0.83685,0.04381,0.32416,0.19456,0.09943,1.44963,2.37042,0.82939,0.00112847,0.00112847,0.00112847
6,26.4513,1.5017,1.14725,0.83787,0.9538,0.17977,0.25783,0.13691,1.47537,1.75417,0.83325,0.00118812,0.00118812,0.00118812
7,30.4301,1.46889,1.09295,0.83228,0.82629,0.23831,0.27333,0.16225,1.32474,1.28738,0.82691,0.00117575,0.00117575,0.00117575
8,34.3999,1.39212,1.04434,0.83305,0.86194,0.26499,0.31469,0.17954,1.30212,1.06033,0.82433,0.00116337,0.00116337,0.00116337
9,38.2673,1.42465,1.02757,0.83067,0.79248,0.28338,0.33763,0.19447,1.28914,0.90559,0.82472,0.001151,0.001151,0.001151
10,42.1921,1.35581,0.97375,0.82657,0.74606,0.32458,0.3641,0.21811,1.28574,0.86693,0.82315,0.00113863,0.00113863,0.00113863
11,46.2174,1.38367,0.98146,0.82503,0.65644,0.33455,0.36502,0.221,1.22904,0.80983,0.82256,0.00112625,0.00112625,0.00112625
12,50.2161,1.3551,0.93325,0.82804,0.6006,0.35184,0.36077,0.20846,1.27744,0.85835,0.82543,0.00111388,0.00111388,0.00111388
13,54.3328,1.32636,0.9063,0.82691,0.65254,0.38531,0.39544,0.23828,1.22963,0.78996,0.82301,0.0011015,0.0011015,0.0011015
14,58.4028,1.34254,0.88243,0.82555,0.67286,0.43023,0.43257,0.23123,1.51775,0.84801,0.83596,0.00108913,0.00108913,0.00108913
15,62.4902,1.38171,0.90261,0.82368,0.80081,0.43515,0.48207,0.29187,1.25216,0.75867,0.82601,0.00107675,0.00107675,0.00107675
16,66.5778,1.32989,0.86396,0.82565,0.76616,0.48582,0.51232,0.31596,1.23406,0.70502,0.82462,0.00106437,0.00106437,0.00106437
17,70.5642,1.3307,0.82798,0.82513,0.75809,0.46618,0.50449,0.3111,1.23,0.72074,0.8235,0.001052,0.001052,0.001052
18,74.769,1.32078,0.81646,0.82777,0.78328,0.45671,0.50352,0.28975,1.35679,0.74273,0.83162,0.00103962,0.00103962,0.00103962
19,79.1627,1.31763,0.79714,0.82409,0.78006,0.47132,0.51665,0.30363,1.1961,0.68729,0.8193,0.00102725,0.00102725,0.00102725
20,83.5156,1.26356,0.77063,0.82154,0.83133,0.45059,0.51636,0.30611,1.17907,0.68783,0.81822,0.00101488,0.00101488,0.00101488
21,87.5429,1.25069,0.75722,0.82287,0.84834,0.48267,0.55531,0.34125,1.17034,0.65856,0.81858,0.0010025,0.0010025,0.0010025
22,91.5699,1.27312,0.75648,0.81436,0.77168,0.44035,0.48825,0.27565,1.25271,0.71463,0.82431,0.000990125,0.000990125,0.000990125
23,95.6116,1.26985,0.75431,0.81955,0.8025,0.5166,0.55718,0.34257,1.20647,0.65773,0.81642,0.00097775,0.00097775,0.00097775
24,99.5935,1.33435,0.75842,0.8199,0.85823,0.48815,0.5657,0.35121,1.16336,0.65174,0.81486,0.000965375,0.000965375,0.000965375
25,103.477,1.23996,0.73115,0.81649,0.83348,0.52025,0.56923,0.33486,1.2306,0.66149,0.81994,0.000953,0.000953,0.000953
26,107.476,1.21568,0.71117,0.81745,0.87535,0.49538,0.59066,0.33707,1.21697,0.64978,0.81862,0.000940625,0.000940625,0.000940625
27,111.496,1.22073,0.70365,0.81702,0.85591,0.52087,0.59466,0.35825,1.15882,0.63927,0.8166,0.00092825,0.00092825,0.00092825
28,115.86,1.26396,0.71109,0.81605,0.87404,0.53718,0.60509,0.38064,1.13335,0.61562,0.81545,0.000915875,0.000915875,0.000915875
29,120.189,1.22892,0.71137,0.81924,0.82313,0.51458,0.5766,0.36297,1.13517,0.63623,0.81638,0.0009035,0.0009035,0.0009035
30,124.638,1.17241,0.67836,0.81257,0.82108,0.57073,0.605,0.37619,1.13986,0.6529,0.81348,0.000891125,0.000891125,0.000891125
31,129.441,1.22733,0.69614,0.81563,0.83989,0.51563,0.57054,0.35644,1.14685,0.63438,0.81125,0.00087875,0.00087875,0.00087875
32,133.983,1.17814,0.67525,0.81007,0.82943,0.51329,0.57877,0.35787,1.11467,0.60183,0.81198,0.000866375,0.000866375,0.000866375
